tas,Year,Month,Country, C, ISO3, ISO2
24.0945,1920,11,CAF,,,
23.3688,1920,12,CAF,,,
23.8556,1921,1,CAF,,,
25.5885,1921,2,CAF,,,
26.3874,1921,3,CAF,,,
26.8459,1921,4,CAF,,,
25.8581,1921,5,CAF,,,
24.7786,1921,6,CAF,,,
23.9771,1921,7,CAF,,,
23.6363,1921,8,CAF,,,
23.9084,1921,9,CAF,,,
24.3184,1921,10,CAF,,,
24.2912,1921,11,CAF,,,
23.9349,1921,12,CAF,,,
24.2603,1922,1,CAF,,,
26.0069,1922,2,CAF,,,
26.9448,1922,3,CAF,,,
26.7404,1922,4,CAF,,,
25.7802,1922,5,CAF,,,
24.8853,1922,6,CAF,,,
23.7926,1922,7,CAF,,,
23.6363,1922,8,CAF,,,
23.8045,1922,9,CAF,,,
24.2789,1922,10,CAF,,,
24.4601,1922,11,CAF,,,
23.6579,1922,12,CAF,,,
24.6478,1923,1,CAF,,,
25.8864,1923,2,CAF,,,
27.087,1923,3,CAF,,,
26.7161,1923,4,CAF,,,
25.8039,1923,5,CAF,,,
24.6955,1923,6,CAF,,,
23.7611,1923,7,CAF,,,
23.5597,1923,8,CAF,,,
23.9508,1923,9,CAF,,,
24.3178,1923,10,CAF,,,
24.262,1923,11,CAF,,,
23.6827,1923,12,CAF,,,
24.3754,1924,1,CAF,,,
26.3846,1924,2,CAF,,,
27.2974,1924,3,CAF,,,
26.8513,1924,4,CAF,,,
25.8378,1924,5,CAF,,,
24.702,1924,6,CAF,,,
23.7671,1924,7,CAF,,,
23.6685,1924,8,CAF,,,
23.8226,1924,9,CAF,,,
24.3879,1924,10,CAF,,,
24.2913,1924,11,CAF,,,
23.7399,1924,12,CAF,,,
23.5418,1925,1,CAF,,,
25.5561,1925,2,CAF,,,
27.0206,1925,3,CAF,,,
26.7309,1925,4,CAF,,,
25.7591,1925,5,CAF,,,
24.569,1925,6,CAF,,,
23.9074,1925,7,CAF,,,
23.6438,1925,8,CAF,,,
24.0791,1925,9,CAF,,,
24.3311,1925,10,CAF,,,
24.4322,1925,11,CAF,,,
23.79,1925,12,CAF,,,
24.1676,1926,1,CAF,,,
25.9643,1926,2,CAF,,,
26.6572,1926,3,CAF,,,
